X(mg),Y(mg),Z(mg),X(dps),Y(dps),Z(dps),X(mGa),Y(mGa),Z(mGa),Output
-999,-65,-16,1.0,-1.9,0.5,-298,-310,-25,0
-999,-73,-17,1.1,-1.6,0.8,-299,-309,-31,0
-999,-63,-15,1.5,-1.2,1.2,-298,-307,-27,0
-996,-74,-20,0.9,-1.2,1.3,-298,-317,-11,0
-997,-75,-16,1.6,-1.6,1.0,-296,-302,-28,0
-1000,-63,-22,1.3,-1.6,0.9,-295,-301,-6,0
-996,-71,-17,0.6,-2.1,0.2,-304,-308,-32,0
-1002,-64,-22,1.6,-2.5,0.2,-301,-303,-33,0
-1000,-59,-18,1.1,-2.3,0.1,-310,-308,-24,0
-998,-69,-20,0.9,-2.5,0.1,-301,-307,-24,0
-999,-65,-16,1.4,-2.4,0.3,-301,-308,-16,0
-998,-67,-17,1.1,-2.5,0.2,-293,-306,-31,0
-1000,-71,-17,1.4,-2.1,0.7,-298,-312,-13,0
-1000,-65,-12,1.2,-1.5,0.9,-298,-307,-27,0
-1001,-68,-17,1.0,-1.6,1.0,-298,-309,-11,0
-998,-64,-16,0.8,-1.7,0.9,-294,-308,-25,0
-998,-61,-17,1.1,-2.1,0.4,-295,-304,-26,0
-1000,-64,-20,1.2,-2.2,0.3,-296,-311,-23,0
-997,-65,-17,0.9,-2.2,0.1,-299,-307,-30,0
-1000,-63,-16,0.6,-2.1,-0.1,-298,-301,-25,0
-1000,-65,-17,1.3,-2.2,0.1,-296,-296,-33,0
-997,-68,-17,0.7,-2.0,0.3,-294,-318,-31,0
-998,-70,-14,1.7,-1.5,1.0,-297,-306,-25,0
-1000,-64,-17,1.9,-1.6,1.1,-294,-309,-20,0
-999,-64,-18,1.1,-1.4,1.1,-301,-302,-19,0
-997,-70,-14,1.6,-1.2,1.5,-292,-307,-25,0
-1001,-58,-15,1.0,-1.1,1.3,-290,-297,-21,0
-998,-59,-19,-0.2,-1.1,0.9,-299,-306,-18,0
-1001,-62,-17,-0.4,-1.1,0.8,-296,-297,-23,0
-1002,-60,-20,0.0,-1.2,1.3,-295,-301,-19,0
-999,-67,-21,0.2,-1.5,1.4,-299,-297,-27,0
-1005,-49,-23,1.8,-1.8,1.6,-300,-301,-18,0
-995,-60,-23,2.3,-1.6,1.7,-304,-310,-11,0
-997,-62,-22,2.5,-1.8,1.3,-304,-304,-15,0
-1001,-50,-18,1.8,-1.6,1.1,-299,-295,-20,0
-997,-58,-22,0.9,-1.7,0.6,-302,-298,-15,0
-995,-58,-20,0.7,-1.8,0.3,-303,-306,-16,0
-997,-51,-24,1.2,-1.4,0.5,-303,-302,-30,0
-1000,-58,-19,1.7,-1.1,0.7,-301,-299,-27,0
-1000,-52,-20,1.7,-0.7,0.7,-305,-304,-14,0
-1000,-55,-22,1.1,-0.5,1.1,-302,-296,-15,0
-1000,-57,-28,0.0,-1.1,0.7,-306,-304,-9,0
-999,-58,-28,0.0,-1.8,0.6,-300,-307,-22,0
-998,-66,-32,1.8,-2.0,2.2,-299,-295,-19,0
-1000,-65,-25,-0.5,-1.5,2.0,-299,-300,-17,0
-1001,-41,-30,2.0,-1.6,2.4,-300,-301,-23,0
-996,-51,-26,1.1,-0.8,2.5,-298,-302,-17,0
-998,-50,-28,1.5,-1.1,2.1,-308,-300,-22,0
-989,-45,-29,0.7,-0.7,1.4,-301,-300,-25,0
-1002,-30,-25,0.0,-0.9,0.2,-306,-297,-2,0
-998,-45,-32,0.3,-1.3,0.2,-297,-301,-18,0
-1006,-47,-36,1.5,-1.3,0.7,-300,-299,-24,0
-992,-48,-29,1.4,-0.9,1.4,-303,-302,-7,0
-996,-66,-37,2.3,-0.9,2.0,-298,-291,-13,0
-1002,-34,-30,3.7,-1.4,2.1,-301,-299,-11,0
-999,-52,-38,2.5,-1.2,1.8,-305,-300,-14,0
-999,-37,-32,2.2,-1.7,1.4,-301,-301,-10,0
-999,-34,-37,1.5,-2.8,0.6,-300,-287,-8,0
-1002,-44,-46,2.1,-3.5,0.0,-297,-292,-12,0
-999,-36,-36,0.9,-3.3,0.0,-303,-294,-25,0
-997,-49,-30,1.0,-3.2,-0.4,-295,-300,-22,0
-997,-33,-29,-0.6,-2.8,-1.3,-306,-293,-30,0
-1001,-40,-29,0.4,-2.8,-1.1,-308,-296,-16,0
-1000,-45,-30,0.7,-3.2,-1.4,-293,-295,-17,0
-1004,-48,-32,2.1,-3.0,-0.2,-297,-303,-20,0
-996,-46,-24,0.9,-2.9,-0.4,-305,-301,-22,0
-1001,-52,-25,0.9,-2.6,-0.2,-298,-296,-18,0
-998,-37,-26,0.4,-2.0,-0.2,-303,-303,-15,0
-1000,-51,-20,0.0,-2.0,-0.6,-299,-302,-18,0
-996,-50,-29,1.9,-2.3,0.0,-300,-300,-11,0
-997,-53,-25,2.2,-2.3,0.4,-299,-301,-11,0
-1000,-56,-29,2.5,-2.7,0.4,-303,-299,-6,0
-998,-42,-23,1.4,-2.8,-0.1,-301,-303,-18,0
-1003,-52,-26,0.4,-2.7,-0.6,-303,-303,-17,0
-1001,-53,-20,0.5,-2.7,-0.8,-294,-297,-21,0
-997,-53,-21,0.5,-2.1,-0.6,-301,-302,-18,0
-996,-60,-17,0.5,-1.5,0.0,-297,-296,-18,0
-996,-64,-23,1.7,-1.8,0.0,-306,-303,-20,0
-1001,-53,-26,2.1,-2.0,0.1,-298,-302,-17,0
-1000,-62,-22,2.7,-2.3,0.8,-296,-300,-5,0
-998,-53,-22,2.5,-2.3,0.9,-294,-299,-12,0
-1000,-57,-17,1.6,-2.5,1.0,-301,-308,-23,0
-1002,-50,-25,0.8,-2.5,0.2,-296,-303,-8,0
